tv_series,tv_seriesLabel,countryLabel
http://www.wikidata.org/entity/Q2086544,Укрощение строптивых,Великобритания
http://www.wikidata.org/entity/Q1972568,Barriga de Aluguel,Бразилия
http://www.wikidata.org/entity/Q2558211,Weltflug.tv – The Gyrocopter World Tour,Германия
http://www.wikidata.org/entity/Q3988846,The Private Life of Plants,Великобритания
http://www.wikidata.org/entity/Q1308690,Einsatz in 4 Wänden,Германия
http://www.wikidata.org/entity/Q2775374,London's Burning,Великобритания
http://www.wikidata.org/entity/Q3210203,The Legend of Science,Франция
http://www.wikidata.org/entity/Q3214025,La caméra explore le temps,Франция
http://www.wikidata.org/entity/Q3790071,Борджиа,Великобритания
http://www.wikidata.org/entity/Q3132049,Мандраке,Бразилия
http://www.wikidata.org/entity/Q3234305,Les Nuls L'émission,Франция
http://www.wikidata.org/entity/Q3234150,Police Camera Action!,Великобритания
http://www.wikidata.org/entity/Q1169496,BBC: Жизнь птиц,Великобритания
http://www.wikidata.org/entity/Q3276933,The Trap,Великобритания
http://www.wikidata.org/entity/Q4126729,Восхождение к Марсу,Франция
http://www.wikidata.org/entity/Q1562383,Otpisani,Югославия
http://www.wikidata.org/entity/Q1563396,Salaš u Malom Ritu,Югославия
http://www.wikidata.org/entity/Q4127467,Мистер Селфридж (фильм),Великобритания
http://www.wikidata.org/entity/Q3360747,Palace,Франция
http://www.wikidata.org/entity/Q2476852,Sugar Rush,Великобритания
http://www.wikidata.org/entity/Q388389,Тайный дневник девушки по вызову,Великобритания
http://www.wikidata.org/entity/Q924889,Власть кошмаров,Великобритания
http://www.wikidata.org/entity/Q2979565,Clone,Великобритания
http://www.wikidata.org/entity/Q3363984,A Family at War,Великобритания
http://www.wikidata.org/entity/Q3284230,Malu Mulher,Бразилия
http://www.wikidata.org/entity/Q2631798,Берег мечты,Бразилия
http://www.wikidata.org/entity/Q4091841,Большая игра,Россия
http://www.wikidata.org/entity/Q4281226,Маргоша,Россия
http://www.wikidata.org/entity/Q2582960,Великая война,Россия
http://www.wikidata.org/entity/Q1659301,Im Angesicht des Verbrechens,Германия
http://www.wikidata.org/entity/Q4299701,Моими глазами,Россия
http://www.wikidata.org/entity/Q659575,Папашина армия,Великобритания
http://www.wikidata.org/entity/Q3477267,Secrets d'histoire,Франция
http://www.wikidata.org/entity/Q2935920,Q2935920,Франция
http://www.wikidata.org/entity/Q2941802,Екатерина,Россия
http://www.wikidata.org/entity/Q239672,Компьютерщики,Великобритания
http://www.wikidata.org/entity/Q1196700,Der Schlunz - Die Serie,Германия
http://www.wikidata.org/entity/Q1197327,Crime Scene Cleaner,Германия
http://www.wikidata.org/entity/Q558112,Чёрное зеркало,Великобритания
http://www.wikidata.org/entity/Q598499,Тихий океан,Великобритания
http://www.wikidata.org/entity/Q872451,Die Ludolfs – 4 Brüder auf'm Schrottplatz,Германия
http://www.wikidata.org/entity/Q672175,Борджиа,Франция
http://www.wikidata.org/entity/Q672175,Борджиа,Германия
http://www.wikidata.org/entity/Q559669,Frozen Planet,Великобритания
http://www.wikidata.org/entity/Q2575263,The Diary of Anne Frank,Великобритания
http://www.wikidata.org/entity/Q3576012,Zoo Quest,Великобритания
http://www.wikidata.org/entity/Q3527986,Ti Ti Ti,Бразилия
http://www.wikidata.org/entity/Q2274417,Абсолютная власть,Великобритания
http://www.wikidata.org/entity/Q174390,Большая игра,Великобритания
http://www.wikidata.org/entity/Q3381198,Q3381198,Франция
http://www.wikidata.org/entity/Q1112475,Горизонт,Великобритания
http://www.wikidata.org/entity/Q735749,Хорнблоуэр,Великобритания
http://www.wikidata.org/entity/Q3546609,Q3546609,Франция
http://www.wikidata.org/entity/Q321742,"Спецназ (телесериал, Германия)",Германия
http://www.wikidata.org/entity/Q1212884,Die Geissens,Германия
http://www.wikidata.org/entity/Q568201,Гуща событий,Великобритания
http://www.wikidata.org/entity/Q1215959,Приключения королевского стрелка Шарпа,Великобритания
http://www.wikidata.org/entity/Q193973,Государственная тайна (мини-сериал),Великобритания
http://www.wikidata.org/entity/Q3398728,Terrahawks,Великобритания
http://www.wikidata.org/entity/Q1767806,У Чэнъэнь и Путешествие на Запад,Китай
http://www.wikidata.org/entity/Q1879693,Colditz,Великобритания
http://www.wikidata.org/entity/Q672175,Борджиа,Чехия
http://www.wikidata.org/entity/Q2855210,Улица потрошителя,Великобритания
http://www.wikidata.org/entity/Q1788226,Time Team,Великобритания
http://www.wikidata.org/entity/Q5709984,Help! My House is Falling Down,Великобритания
http://www.wikidata.org/entity/Q5132413,Клик,Великобритания
http://www.wikidata.org/entity/Q5072032,Changing Rooms,Великобритания
http://www.wikidata.org/entity/Q4303563,Мосгаз,Россия
http://www.wikidata.org/entity/Q4930197,Bluebell,Великобритания
http://www.wikidata.org/entity/Q6651101,Little Napoleons,Великобритания
http://www.wikidata.org/entity/Q5305406,Dragons' Den,Великобритания
http://www.wikidata.org/entity/Q7713329,The Amazing Mrs Pritchard,Великобритания
http://www.wikidata.org/entity/Q7718038,The Bionic Vet,Великобритания
http://www.wikidata.org/entity/Q7721799,The Cazalets,Великобритания
http://www.wikidata.org/entity/Q4775186,Antiques Road Trip,Великобритания
http://www.wikidata.org/entity/Q5521117,Ganges,Великобритания
http://www.wikidata.org/entity/Q4822723,Auschwitz: The Nazis and 'The Final Solution',Великобритания
http://www.wikidata.org/entity/Q4834823,BBC History of World War II,Великобритания
http://www.wikidata.org/entity/Q5893357,"Honey, We're Killing the Kids",Великобритания
http://www.wikidata.org/entity/Q5905234,Horror in the East,Великобритания
http://www.wikidata.org/entity/Q5918034,How Not to Decorate,Великобритания
http://www.wikidata.org/entity/Q4881279,Being: Liverpool,Великобритания
http://www.wikidata.org/entity/Q7672457,TV dober dan,Словения
http://www.wikidata.org/entity/Q4907990,Bill Bailey's Birdwatching Bonanza,Великобритания
http://www.wikidata.org/entity/Q7265317,Q.E.D.,Великобритания
http://www.wikidata.org/entity/Q4950072,Bouquet of Barbed Wire,Великобритания
http://www.wikidata.org/entity/Q6859803,Million Pound Property Experiment,Великобритания
http://www.wikidata.org/entity/Q5577732,"Going, Going, Gone",Великобритания
http://www.wikidata.org/entity/Q7209406,Police,Великобритания
http://www.wikidata.org/entity/Q6902590,Monsignor Renard,Великобритания
http://www.wikidata.org/entity/Q4969160,Brit Cops,Великобритания
http://www.wikidata.org/entity/Q4970173,British Isles – A Natural History,Великобритания
http://www.wikidata.org/entity/Q6907993,Moonstrike,Великобритания
http://www.wikidata.org/entity/Q5003887,By the Sword Divided,Великобритания
http://www.wikidata.org/entity/Q7140892,Party Animals,Великобритания
http://www.wikidata.org/entity/Q5520035,Gamepad,Великобритания
http://www.wikidata.org/entity/Q6945154,My Chief and My Regiment,Китай
http://www.wikidata.org/entity/Q5039372,Caribbean Cops,Великобритания
http://www.wikidata.org/entity/Q7144772,Pathfinders,Великобритания
http://www.wikidata.org/entity/Q6984435,Nearly A Happy Ending,Великобритания
http://www.wikidata.org/entity/Q7044315,No Job for a Lady,Великобритания
http://www.wikidata.org/entity/Q4390152,Раскол,Россия
http://www.wikidata.org/entity/Q5120718,Кино Европы: Неизвестный Голливуд,Великобритания
http://www.wikidata.org/entity/Q4764860,Animal Park,Великобритания
http://www.wikidata.org/entity/Q5315383,Dunkirk,Великобритания
http://www.wikidata.org/entity/Q5168142,Cop Squad,Великобритания
http://www.wikidata.org/entity/Q5205175,DIY SOS,Великобритания
http://www.wikidata.org/entity/Q5889415,Homefront,Великобритания
http://www.wikidata.org/entity/Q5216020,Danger UXB,Великобритания
http://www.wikidata.org/entity/Q7201076,Planet Earth: The Future,Великобритания
http://www.wikidata.org/entity/Q5519518,Galápagos,Великобритания
http://www.wikidata.org/entity/Q7209472,Police Interceptors,Великобритания
http://www.wikidata.org/entity/Q7209519,Police Stop!,Великобритания
http://www.wikidata.org/entity/Q7225177,Politics Show,Великобритания
http://www.wikidata.org/entity/Q5245908,Dealers,Великобритания
http://www.wikidata.org/entity/Q5247615,Death on the Rock,Великобритания
http://www.wikidata.org/entity/Q7250217,Property Ladder,Великобритания
http://www.wikidata.org/entity/Q5273714,Dickinson's Real Deal,Великобритания
http://www.wikidata.org/entity/Q5275664,Digging for Britain,Великобритания
http://www.wikidata.org/entity/Q5287574,Doctors to Be: 20 Years On,Великобритания
http://www.wikidata.org/entity/Q5287573,Doctors to Be,Великобритания
http://www.wikidata.org/entity/Q7337390,River Elegy,Китай
http://www.wikidata.org/entity/Q5336512,Eddie Stobart: Trucks & Trailers,Великобритания
http://www.wikidata.org/entity/Q5455880,Five Daughters,Великобритания
http://www.wikidata.org/entity/Q5178253,Court Martial,Великобритания
http://www.wikidata.org/entity/Q5397097,Escape to the Country,Великобритания
http://www.wikidata.org/entity/Q6749362,Manhunt,Великобритания
http://www.wikidata.org/entity/Q4689532,Африка,Великобритания
http://www.wikidata.org/entity/Q5422307,Extreme A&E,Великобритания
http://www.wikidata.org/entity/Q5431488,Fake or Fortune?,Великобритания
http://www.wikidata.org/entity/Q5457541,Flash and Dash,Китай
http://www.wikidata.org/entity/Q4316980,Немного не в себе,Россия
http://www.wikidata.org/entity/Q5472906,Fortunes of War,Великобритания
http://www.wikidata.org/entity/Q5459980,Flog It!,Великобритания
http://www.wikidata.org/entity/Q7448655,Selling Hitler,Великобритания
http://www.wikidata.org/entity/Q7450155,Send in the Dogs,Великобритания
http://www.wikidata.org/entity/Q7458466,Sex and Shopping,Великобритания
http://www.wikidata.org/entity/Q6396897,Kevin McCloud's Man Made Home,Великобритания
http://www.wikidata.org/entity/Q4380317,Проклятый рай,Россия
http://www.wikidata.org/entity/Q7699920,Tenko,Великобритания
http://www.wikidata.org/entity/Q4384432,Путь героина,Великобритания
http://www.wikidata.org/entity/Q7713706,Q7713706,Великобритания
http://www.wikidata.org/entity/Q4443005,Столыпин… Невыученные уроки,Россия
http://www.wikidata.org/entity/Q5168846,Coppers,Великобритания
http://www.wikidata.org/entity/Q7622981,Street Wars,Великобритания
http://www.wikidata.org/entity/Q5535610,Geordie Racer,Великобритания
http://www.wikidata.org/entity/Q4322414,Новая жертва,Бразилия
http://www.wikidata.org/entity/Q4535715,Я не я,Россия
http://www.wikidata.org/entity/Q7537286,Sky Cops,Великобритания
http://www.wikidata.org/entity/Q6483899,Land Girls,Великобритания
http://www.wikidata.org/entity/Q7299583,Q7299583,Словения
http://www.wikidata.org/entity/Q5577878,Going for a Song,Великобритания
http://www.wikidata.org/entity/Q4690485,After Dark,Великобритания
http://www.wikidata.org/entity/Q7577515,Spindoe,Великобритания
http://www.wikidata.org/entity/Q7581901,Squadron,Великобритания
http://www.wikidata.org/entity/Q4631870,24 Hours in A&E,Великобритания
http://www.wikidata.org/entity/Q7622810,Street Crime UK,Великобритания
http://www.wikidata.org/entity/Q5646701,Han Wu Da Di,Китай
http://www.wikidata.org/entity/Q4658774,A Perfect Hero,Великобритания
http://www.wikidata.org/entity/Q4659097,A Question of Sport,Великобритания
http://www.wikidata.org/entity/Q7647197,Survival in the Sky,Великобритания
http://www.wikidata.org/entity/Q7339467,Road Wars,Великобритания
http://www.wikidata.org/entity/Q5138078,Coast,Великобритания
http://www.wikidata.org/entity/Q4877770,Beautiful Minds,Германия
http://www.wikidata.org/entity/Q15897171,We Get Married,Китай
http://www.wikidata.org/entity/Q19572149,Люди,Великобритания
http://www.wikidata.org/entity/Q16606505,Merlin: Secrets and Magic,Великобритания
http://www.wikidata.org/entity/Q16740169,Life and Death Row,Великобритания
http://www.wikidata.org/entity/Q7747962,The Lock Up,Великобритания
http://www.wikidata.org/entity/Q7728999,Тёмная сторона порно,Великобритания
http://www.wikidata.org/entity/Q27020440,The Happos Family,Великобритания
http://www.wikidata.org/entity/Q7730385,The District Nurse,Великобритания
http://www.wikidata.org/entity/Q7735058,The Fourth Arm,Великобритания
http://www.wikidata.org/entity/Q10884765,Ren Changxia,Китай
http://www.wikidata.org/entity/Q18409593,Тринадцать,Россия
http://www.wikidata.org/entity/Q7737912,The Great Rift: Africa's Wild Heart,Великобритания
http://www.wikidata.org/entity/Q16844976,House Doctor,Великобритания
http://www.wikidata.org/entity/Q16848797,Island at War,Великобритания
http://www.wikidata.org/entity/Q7747159,The Life and Times of David Lloyd George,Великобритания
http://www.wikidata.org/entity/Q27134548,СуперКопы,Украина
http://www.wikidata.org/entity/Q11962937,CIA: Guerres secrètes,Франция
http://www.wikidata.org/entity/Q7757676,The Politician's Wife,Великобритания
http://www.wikidata.org/entity/Q7759050,The Quest for Shakespeare,Великобритания
http://www.wikidata.org/entity/Q11964192,Crime Inc.,Великобритания
http://www.wikidata.org/entity/Q7772842,The Virtual Revolution,Великобритания
http://www.wikidata.org/entity/Q10286936,Emperor Kangxi,Китай
http://www.wikidata.org/entity/Q14944179,Острые козырьки,Великобритания
http://www.wikidata.org/entity/Q7783793,They Who Dare,Великобритания
http://www.wikidata.org/entity/Q11126984,Mao Anying,Китай
http://www.wikidata.org/entity/Q16967607,Wildlife SOS,Великобритания
http://www.wikidata.org/entity/Q16988682,Detectorists,Великобритания
http://www.wikidata.org/entity/Q7798364,Thronecast,Великобритания
http://www.wikidata.org/entity/Q24452691,Der Fall Jakubowski – Rekonstruktion eines Justizirrtums,Германия
http://www.wikidata.org/entity/Q12031719,Король Шумавы,Чехословакия
http://www.wikidata.org/entity/Q17039455,Волчий зал,Великобритания
http://www.wikidata.org/entity/Q24514373,What Do Artists Do All Day?,Великобритания
http://www.wikidata.org/entity/Q7827474,Tory! Tory! Tory!,Великобритания
http://www.wikidata.org/entity/Q17099585,рождественский календарь исланского телевидения,Исландия
http://www.wikidata.org/entity/Q15737024,37 Days,Великобритания
http://www.wikidata.org/entity/Q7832449,Traffic Cops,Великобритания
http://www.wikidata.org/entity/Q7833702,Trans World Sport,Великобритания
http://www.wikidata.org/entity/Q10945001,Xiao Zhuang Epic (TV series),Китай
http://www.wikidata.org/entity/Q10260706,Corpo Santo,Бразилия
http://www.wikidata.org/entity/Q17151107,The Dog Rescuers,Великобритания
http://www.wikidata.org/entity/Q25159357,Белая принцесса,Великобритания
http://www.wikidata.org/entity/Q15109278,Britain's Great War,Великобритания
http://www.wikidata.org/entity/Q22078939,Go Princess Go,Китай
http://www.wikidata.org/entity/Q10336973,Ninho da Serpente,Бразилия
http://www.wikidata.org/entity/Q10259756,Тинейджеры,Чехия
http://www.wikidata.org/entity/Q19766630,Anwälte der Toten,Германия
http://www.wikidata.org/entity/Q19520525,Люцифер,Чехия
http://www.wikidata.org/entity/Q19865538,Ночной администратор,Великобритания
http://www.wikidata.org/entity/Q23731508,Land of Hope and Glory,Великобритания
http://www.wikidata.org/entity/Q8027540,Wish Me Luck,Великобритания
http://www.wikidata.org/entity/Q7968675,War of the Century,Великобритания
http://www.wikidata.org/entity/Q13425006,100 Great Paintings,Германия
http://www.wikidata.org/entity/Q7979453,Weekend World,Великобритания
http://www.wikidata.org/entity/Q20020291,24 Hours in the Past,Великобритания
http://www.wikidata.org/entity/Q8000570,BBC: Дикие Карибы,Великобритания
http://www.wikidata.org/entity/Q9087190,Белая королева,Великобритания
http://www.wikidata.org/entity/Q13454437,The Politician's Husband,Великобритания
http://www.wikidata.org/entity/Q27927444,Мифы Древней Греции,Франция
http://www.wikidata.org/entity/Q15304565,Top Model,Бразилия
http://www.wikidata.org/entity/Q18162701,The Widower,Великобритания
http://www.wikidata.org/entity/Q8036432,Вторая мировая война в цвете,Великобритания
http://www.wikidata.org/entity/Q20075435,Гвардия,Украина
http://www.wikidata.org/entity/Q8058412,Young Sherlock: The Mystery of the Manor House,Великобритания
http://www.wikidata.org/entity/Q7943186,Vrtičkarji,Словения
http://www.wikidata.org/entity/Q25435082,Волшебные кеды моего друга Перси,Исландия
http://www.wikidata.org/entity/Q21079531,Медичи,Великобритания
http://www.wikidata.org/entity/Q15974784,Великое ограбление поезда,Великобритания
http://www.wikidata.org/entity/Q18011566,The Internet Age,Китай
http://www.wikidata.org/entity/Q22998408,Вавилон-Берлин,Германия
http://www.wikidata.org/entity/Q25469162,Dimitrije Tucović,Югославия
http://www.wikidata.org/entity/Q22931491,Влечение,Китай
http://www.wikidata.org/entity/Q7770678,The Tube,Великобритания
http://www.wikidata.org/entity/Q18161701,On the Yorkshire Buses,Великобритания
http://www.wikidata.org/entity/Q16959067,United,Великобритания
http://www.wikidata.org/entity/Q15850067,Tamara Ecclestone: Billion $$ Girl,Великобритания
http://www.wikidata.org/entity/Q13632727,Como uma Onda,Бразилия
http://www.wikidata.org/entity/Q8079840,Ďáblova lest,Чехия
http://www.wikidata.org/entity/Q15905576,Список Ланъя,Китай
http://www.wikidata.org/entity/Q15908859,The Legend of Xi Shi,Китай
http://www.wikidata.org/entity/Q15914638,Chuang guan dong,Китай
http://www.wikidata.org/entity/Q15941202,Ji Gong,Китай
http://www.wikidata.org/entity/Q20856893,Tattoo Fixers,Великобритания
http://www.wikidata.org/entity/Q16010724,Apocalypse: World War I,Франция
http://www.wikidata.org/entity/Q18349024,24 Hours in Police Custody,Великобритания
http://www.wikidata.org/entity/Q18406980,Чернобыль. Зона отчуждения,Россия
http://www.wikidata.org/entity/Q20899426,Dinosaur Britain,Великобритания
http://www.wikidata.org/entity/Q21450492,Виктория,Великобритания
http://www.wikidata.org/entity/Q12495308,Lorong Waktu,Индонезия
http://www.wikidata.org/entity/Q7734749,The Force,Великобритания
http://www.wikidata.org/entity/Q7977068,We'll Meet Again,Великобритания
http://www.wikidata.org/entity/Q17020802,Spycatcher,Великобритания
http://www.wikidata.org/entity/Q16257990,My Transsexual Summer,Великобритания
http://www.wikidata.org/entity/Q18652369,The Legend of Xiaozhuang,Китай
http://www.wikidata.org/entity/Q18712413,The Fifteen Billion Pound Railway,Великобритания
http://www.wikidata.org/entity/Q18712545,The Supervet,Великобритания
http://www.wikidata.org/entity/Q15909143,Behind Enemy Lines,Китай
http://www.wikidata.org/entity/Q20707362,Корона,Великобритания
http://www.wikidata.org/entity/Q12752569,Kapelski kresovi,Югославия
http://www.wikidata.org/entity/Q12758813,Sivi dom,Югославия
http://www.wikidata.org/entity/Q12956924,Dvornikovi,Хорватия
http://www.wikidata.org/entity/Q56299564,Killer Couples,Великобритания
http://www.wikidata.org/entity/Q61896199,Girls from Ipanema,Бразилия
http://www.wikidata.org/entity/Q71585348,Q71585348,Германия
http://www.wikidata.org/entity/Q106362893,Пистол,Великобритания
http://www.wikidata.org/entity/Q87202931,Игра родом из Англии,Великобритания
http://www.wikidata.org/entity/Q30950649,Баскетбольная лихорадка,Китай
http://www.wikidata.org/entity/Q103651531,Инопланетные миры,Великобритания
http://www.wikidata.org/entity/Q58848079,Vai Anitta,Бразилия
http://www.wikidata.org/entity/Q52353808,Britain's Biggest Warship,Великобритания
http://www.wikidata.org/entity/Q106434632,The Cameron Years,Великобритания
http://www.wikidata.org/entity/Q106437023,Life in Colour with David Attenborough,Великобритания
http://www.wikidata.org/entity/Q106468606,Room 2806: The Accusation,Франция
http://www.wikidata.org/entity/Q68935698,Горизонты,Германия
http://www.wikidata.org/entity/Q89439238,Eurasia: The Conquest of the East,Франция
http://www.wikidata.org/entity/Q52504023,Gas Station Happiness,Германия
http://www.wikidata.org/entity/Q52523894,Bigfoot Files,Великобритания
http://www.wikidata.org/entity/Q95994790,Anke hat Zeit,Германия
http://www.wikidata.org/entity/Q60774346,Osmosis,Франция
http://www.wikidata.org/entity/Q59628444,Serial Killer with Piers Morgan,Великобритания
http://www.wikidata.org/entity/Q58343771,Karavan,Югославия
http://www.wikidata.org/entity/Q84345061,Božena (miniseries),Чехия
http://www.wikidata.org/entity/Q87202748,Леонардо,Франция
http://www.wikidata.org/entity/Q85875160,Q85875160,Китай
http://www.wikidata.org/entity/Q87202748,Леонардо,Великобритания
http://www.wikidata.org/entity/Q99592119,Aux frontières de la Chine,Франция
http://www.wikidata.org/entity/Q56277883,The Repair Shop,Великобритания
http://www.wikidata.org/entity/Q51845044,So zärtlich war Suleyken,Германия
http://www.wikidata.org/entity/Q58336643,Годунов,Россия
http://www.wikidata.org/entity/Q62018588,Woke,Франция
http://www.wikidata.org/entity/Q85878105,Lookism,Китай
http://www.wikidata.org/entity/Q86685797,Грозный,Россия
http://www.wikidata.org/entity/Q50327811,Q50327811,Германия
http://www.wikidata.org/entity/Q59961097,Sunderland 'Til I Die,Великобритания
http://www.wikidata.org/entity/Q56307417,Counter Attack,Китай
http://www.wikidata.org/entity/Q96408424,Four Lives,Великобритания
http://www.wikidata.org/entity/Q52227756,Викинги,Великобритания
http://www.wikidata.org/entity/Q59564889,Until Death Do Us Part,Бразилия
http://www.wikidata.org/entity/Q56254019,Домашний арест,Россия
http://www.wikidata.org/entity/Q38527625,The State,Великобритания
http://www.wikidata.org/entity/Q46171653,Q46171653,Германия
http://www.wikidata.org/entity/Q39073393,Джентльмен Джек,Великобритания
http://www.wikidata.org/entity/Q104630896,Это грех,Великобритания
http://www.wikidata.org/entity/Q33090289,Lajna,Чехия
http://www.wikidata.org/entity/Q101067793,Гусар,Россия
http://www.wikidata.org/entity/Q56705989,Inside the Freemasons,Великобритания
http://www.wikidata.org/entity/Q30603293,Порох,Великобритания
http://www.wikidata.org/entity/Q66435158,Project 17: Side by Side,Китай
http://www.wikidata.org/entity/Q30612134,Очень английский скандал,Великобритания
http://www.wikidata.org/entity/Q55600032,Q55600032,Франция
http://www.wikidata.org/entity/Q97160902,Hikaru no Go,Китай
http://www.wikidata.org/entity/Q88252669,Validé,Франция
http://www.wikidata.org/entity/Q30742654,Миссии,Франция
http://www.wikidata.org/entity/Q92053750,Deutscher,Германия
http://www.wikidata.org/entity/Q28035803,София (телесериал),Россия
http://www.wikidata.org/entity/Q60608206,Paddington Station 24/7,Великобритания
http://www.wikidata.org/entity/Q87750609,Unsere wunderbaren Jahre,Германия
http://www.wikidata.org/entity/Q28667535,Людмила Гурченко,Россия
http://www.wikidata.org/entity/Q47249689,Московское дело,Китай
http://www.wikidata.org/entity/Q97223223,Slumbering Concrete,Хорватия
http://www.wikidata.org/entity/Q85793950,Pooch Perfect,Великобритания
http://www.wikidata.org/entity/Q30608747,Three Girls,Великобритания
http://www.wikidata.org/entity/Q28759639,Мата Хари,Россия
http://www.wikidata.org/entity/Q47470667,The Royal House of Windsor,Великобритания
http://www.wikidata.org/entity/Q48773410,Цветение,Китай
http://www.wikidata.org/entity/Q105358421,End of Empire,Великобритания
http://www.wikidata.org/entity/Q27971007,Vyšehrad,Чехия
http://www.wikidata.org/entity/Q61782859,Великая,Великобритания
http://www.wikidata.org/entity/Q70902272,Dance Smash,Китай
http://www.wikidata.org/entity/Q102398608,Going Across the Yalu River,Китай
http://www.wikidata.org/entity/Q43377320,Благие знамения,Великобритания
http://www.wikidata.org/entity/Q105668766,Чикатило,Россия
http://www.wikidata.org/entity/Q54860687,Inside the World's Toughest Prisons,Великобритания
http://www.wikidata.org/entity/Q97279723,Скорая помощь,Россия
http://www.wikidata.org/entity/Q97199120,Q97199120,Китай
http://www.wikidata.org/entity/Q39074704,Ambulance,Великобритания
http://www.wikidata.org/entity/Q59654709,Mrs Wilson,Великобритания
http://www.wikidata.org/entity/Q105686533,Императрица,Германия
http://www.wikidata.org/entity/Q51328223,Trump: An American Dream,Великобритания
http://www.wikidata.org/entity/Q88532913,The Beatles: Get Back,Великобритания
http://www.wikidata.org/entity/Q28864733,Come Sing with Me,Китай
http://www.wikidata.org/entity/Q54999879,Churchill's Bodyguard,Великобритания
http://www.wikidata.org/entity/Q51448614,Busting the Berlin Wall: Amazing Escape Stories,Германия
http://www.wikidata.org/entity/Q55012267,Испанская принцесса,Великобритания
http://www.wikidata.org/entity/Q55074855,Крепость Бадабер,Россия
http://www.wikidata.org/entity/Q95149120,Stalk,Франция
http://www.wikidata.org/entity/Q105828586,The Art of Architecture,Великобритания
http://www.wikidata.org/entity/Q50753368,Drug Lords,Великобритания
http://www.wikidata.org/entity/Q55095897,WWE NXT UK,Великобритания
http://www.wikidata.org/entity/Q64734936,Motorway Cops,Великобритания
http://www.wikidata.org/entity/Q28972003,Падение Трои,Великобритания
http://www.wikidata.org/entity/Q61742265,Flavorful Origins,Китай
http://www.wikidata.org/entity/Q61890361,Q61890361,Германия
http://www.wikidata.org/entity/Q86729534,"La Guerre des trônes, la véritable histoire de l'Europe",Франция
http://www.wikidata.org/entity/Q30129388,White Deer Plain,Китай
http://www.wikidata.org/entity/Q106107193,Пищеблок,Россия
http://www.wikidata.org/entity/Q48757503,Q48757503,Германия
http://www.wikidata.org/entity/Q55388754,"Лучше, чем люди",Россия
http://www.wikidata.org/entity/Q106118639,Europe Time Machine,Франция
http://www.wikidata.org/entity/Q106153037,САС: Неизвестные герои,Великобритания
http://www.wikidata.org/entity/Q29391005,"No Gods, No Masters: A History of Anarchism",Франция
http://www.wikidata.org/entity/Q118868793,Nordic Beats,Исландия
http://www.wikidata.org/entity/Q111264163,Q111264163,Бразилия
http://www.wikidata.org/entity/Q118945236,Steeltown Murders,Великобритания
http://www.wikidata.org/entity/Q108857712,Franco: The Brutal Truth About Spain's Dictator,Германия
http://www.wikidata.org/entity/Q108909070,Сисси: Императрица Австрии,Германия
http://www.wikidata.org/entity/Q111377804,Chernobyl,Россия
http://www.wikidata.org/entity/Q115960023,My Wiggly Friend,Китай
