tv_series,tv_seriesLabel,start_year,end_year,subjectLabel
http://www.wikidata.org/entity/Q168708,Даллас,1978,1991,неблагополучная семья
http://www.wikidata.org/entity/Q491891,"Gwanggaeto, The Great Conqueror",2011,2012,Квангетхо
http://www.wikidata.org/entity/Q242596,Малкольм в центре внимания,2000,2006,переходный возраст
http://www.wikidata.org/entity/Q485457,Слепое правосудие,2005,2005,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q564345,В поле зрения,2011,2016,искусственный интеллект
http://www.wikidata.org/entity/Q321742,"Спецназ (телесериал, Германия)",2007,2008,GSG 9
http://www.wikidata.org/entity/Q565293,Анна Франк,2001,2001,Холокост
http://www.wikidata.org/entity/Q207375,Скорая помощь,1994,2009,отделение неотложной помощи
http://www.wikidata.org/entity/Q559669,Frozen Planet,2011,2011,Антарктика
http://www.wikidata.org/entity/Q559669,Frozen Planet,2011,2011,Арктика
http://www.wikidata.org/entity/Q1797430,Hearts Afire,1992,1995,политика
http://www.wikidata.org/entity/Q1248464,The New Statesman,1987,1994,политика
http://www.wikidata.org/entity/Q2579463,Викинги,2013,2020,Рагнар Лодброк
http://www.wikidata.org/entity/Q2476852,Sugar Rush,2005,2006,ЛГБТ
http://www.wikidata.org/entity/Q2377188,Война Фойла,2002,2015,Вторая мировая война
http://www.wikidata.org/entity/Q2558211,Weltflug.tv – The Gyrocopter World Tour,2012,2012,авиация
http://www.wikidata.org/entity/Q1248480,Burke's Law,1963,1966,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q1788226,Time Team,1994,2014,археология
http://www.wikidata.org/entity/Q1659301,Im Angesicht des Verbrechens,2010,2010,Организованная преступность в России
http://www.wikidata.org/entity/Q1525645,Скандал,2012,2018,политика
http://www.wikidata.org/entity/Q1575230,Майк и Молли,2010,2016,Департамент полиции Чикаго
http://www.wikidata.org/entity/Q1462368,Дживс и Вустер,1990,1993,богатство
http://www.wikidata.org/entity/Q2437612,Android Kikaider,1972,1973,андроид
http://www.wikidata.org/entity/Q2366574,Планета динозавров,2011,2011,динозавры
http://www.wikidata.org/entity/Q1254551,Q1254551,2009,2010,венгерский язык
http://www.wikidata.org/entity/Q1249642,Спартак,2010,2013,гладиатор
http://www.wikidata.org/entity/Q1249642,Спартак,2010,2013,Спартак
http://www.wikidata.org/entity/Q2690883,Настоящие люди,2012,2014,андроид
http://www.wikidata.org/entity/Q2909583,Bomb Girls,2012,2013,Вторая мировая война
http://www.wikidata.org/entity/Q2979565,Clone,2008,2008,клонирование
http://www.wikidata.org/entity/Q2941802,Екатерина,2014,2023,Екатерина II
http://www.wikidata.org/entity/Q1400206,Нация пришельцев,1989,1990,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q1397802,Fastlane,2002,2003,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q1602633,Ад на колёсах,2011,2016,Первая трансконтинентальная железная дорога США
http://www.wikidata.org/entity/Q1969978,Страсти,1999,2008,неблагополучная семья
http://www.wikidata.org/entity/Q1308690,Einsatz in 4 Wänden,2003,2013,ремонт жилища
http://www.wikidata.org/entity/Q2164808,Titus,2000,2002,неблагополучная семья
http://www.wikidata.org/entity/Q2702538,Brooklyn South,1997,1998,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q1406643,The Joy of Painting,1983,1994,живопись
http://www.wikidata.org/entity/Q1945324,Monster House,2003,2006,ремонт жилища
http://www.wikidata.org/entity/Q2690883,Настоящие люди,2012,2014,права роботов
http://www.wikidata.org/entity/Q2690883,Настоящие люди,2012,2014,искусственный интеллект
http://www.wikidata.org/entity/Q1538095,Кошмары на кухне,2004,2014,ресторан
http://www.wikidata.org/entity/Q2498045,Жара в Лос-Анджелесе,1997,1999,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q2849711,Печальный рыцарь,1975,1976,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q1965005,BBC: Нацизм: Предостережение истории,1997,1997,Адольф Гитлер
http://www.wikidata.org/entity/Q2855210,Улица потрошителя,2012,2016,преступление
http://www.wikidata.org/entity/Q2714167,Kojak,2005,2005,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q2715144,Изабелла,2012,2014,Изабелла I
http://www.wikidata.org/entity/Q2775374,London's Burning,1986,2002,London Fire Brigade
http://www.wikidata.org/entity/Q2084232,Легавый,2012,2013,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q1366484,Es kommt noch dicker,2012,2012,фэтшейминг
http://www.wikidata.org/entity/Q2817130,500 наций,1995,1995,индейцы
http://www.wikidata.org/entity/Q2533567,Histoire(s) du cinéma,1989,1999,киноиндустрия
http://www.wikidata.org/entity/Q2902114,Big Apple,2001,2001,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q2063310,The Cosby Mysteries,1994,1995,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q1601158,Авантюристы,2002,2004,справедливость
http://www.wikidata.org/entity/Q1601158,Авантюристы,2002,2004,внушение
http://www.wikidata.org/entity/Q2533567,Histoire(s) du cinéma,1989,1999,история кино
http://www.wikidata.org/entity/Q2631798,Берег мечты,2001,2001,магический реализм
http://www.wikidata.org/entity/Q2817130,500 наций,1995,1995,геноцид коренных народов в США
http://www.wikidata.org/entity/Q1249333,Эксперимент Куотермасса,1953,1953,Космическая программа Британии
http://www.wikidata.org/entity/Q2942172,Cathouse: The Series,2005,2014,проституция
http://www.wikidata.org/entity/Q2575263,The Diary of Anne Frank,2009,2009,Холокост
http://www.wikidata.org/entity/Q1247732,"Quincy, M.E.",1976,1983,судмедэксперт
http://www.wikidata.org/entity/Q1965005,BBC: Нацизм: Предостережение истории,1997,1997,национал-социализм
http://www.wikidata.org/entity/Q1562383,Otpisani,1974,1975,Вторая мировая война
http://www.wikidata.org/entity/Q2575263,The Diary of Anne Frank,2009,2009,Вторая мировая война
http://www.wikidata.org/entity/Q2855210,Улица потрошителя,2012,2016,Джек-потрошитель
http://www.wikidata.org/entity/Q1353486,Marumo no Okite,2011,2011,семья
http://www.wikidata.org/entity/Q2903687,3-2-1 Contact,1980,1988,наука
http://www.wikidata.org/entity/Q2996695,Cop Rock,1990,1990,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q2908387,Pillar of Fire,1981,1981,history of Zionism
http://www.wikidata.org/entity/Q2469905,Главный подозреваемый,2011,2012,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q1249629,Police Story,1973,1978,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q1247732,"Quincy, M.E.",1976,1983,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q1247850,Combat!,1962,1967,Вторая мировая война
http://www.wikidata.org/entity/Q2270077,Волчье озеро,2001,2002,волк-оборотень
http://www.wikidata.org/entity/Q2518379,NYC 22,2012,2012,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q3043225,Life in the Freezer,1993,1993,Антарктида
http://www.wikidata.org/entity/Q1455489,Медицинский детектив,1996,2011,криминалистическая экспертиза
http://www.wikidata.org/entity/Q1564036,The End of Obrenović Dynasty,1995,1995,Майский переворот
http://www.wikidata.org/entity/Q1601158,Авантюристы,2002,2004,решение задач
http://www.wikidata.org/entity/Q2826355,Лицом к стене,2011,2011,Департамент полиции Чикаго
http://www.wikidata.org/entity/Q1972568,Barriga de Aluguel,1990,1991,биоэтика
http://www.wikidata.org/entity/Q1809842,The Riches,2007,2008,неблагополучная семья
http://www.wikidata.org/entity/Q1879693,Colditz,1972,1974,Вторая мировая война
http://www.wikidata.org/entity/Q2336916,Bargain Hunt,2000,2009,антиквариат
http://www.wikidata.org/entity/Q1249108,Naked City,1958,1963,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q1508425,The State Within,2006,2006,политика
http://www.wikidata.org/entity/Q2070469,Enos,1980,1981,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q2086544,Укрощение строптивых,2005,2010,ladette
http://www.wikidata.org/entity/Q2274417,Абсолютная власть,2003,2005,политика
http://www.wikidata.org/entity/Q2113675,"Херби, фольксваген-жук",1982,1982,автомобиль
http://www.wikidata.org/entity/Q1703401,Не родись красивой,2006,2009,Эдурне
http://www.wikidata.org/entity/Q2056783,The Rat Patrol,1966,1968,Вторая мировая война
http://www.wikidata.org/entity/Q1388243,Here Is Greenwood,2008,2008,учащийся старших классов
http://www.wikidata.org/entity/Q2296287,Власть закона,2011,2011,Департамент полиции Чикаго
http://www.wikidata.org/entity/Q1638106,Охотник,1984,1991,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q1337212,Большой ремонт,1991,1999,ремонт жилища
http://www.wikidata.org/entity/Q1563396,Salaš u Malom Ritu,1976,1976,Вторая мировая война
http://www.wikidata.org/entity/Q3137787,Baseball,1994,2010,бейсбол
http://www.wikidata.org/entity/Q4380317,Проклятый рай,2006,2006,сексуальное рабство
http://www.wikidata.org/entity/Q3285801,When We Left Earth: The NASA Missions,2008,2008,спейс-шаттл
http://www.wikidata.org/entity/Q3900638,Hillbilly Handfishin',2011,2012,нудлинг
http://www.wikidata.org/entity/Q3790071,Борджиа,1981,1981,Борджиа
http://www.wikidata.org/entity/Q3080482,American Restoration,2010,2016,антиквариат
http://www.wikidata.org/entity/Q3527986,Ti Ti Ti,1985,1986,мода
http://www.wikidata.org/entity/Q3875175,Adam-12,1990,1991,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q4299701,Моими глазами,2013,2013,обмен телами
http://www.wikidata.org/entity/Q3967288,Sprout,2012,2012,учащийся старших классов
http://www.wikidata.org/entity/Q3360747,Palace,1988,1989,гранд-отель
http://www.wikidata.org/entity/Q3132049,Мандраке,2005,2007,бабник
http://www.wikidata.org/entity/Q3576012,Zoo Quest,1954,1963,дикая природа
http://www.wikidata.org/entity/Q3132049,Мандраке,2005,2007,адвокат
http://www.wikidata.org/entity/Q3576012,Zoo Quest,1954,1963,Лондонский зоопарк
http://www.wikidata.org/entity/Q3857891,Бывший орёл,1976,1977,Вторая мировая война
http://www.wikidata.org/entity/Q4637537,413 Hope St.,1997,1998,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q3987161,The Gallant Men,1962,1963,Вторая мировая война
http://www.wikidata.org/entity/Q4526152,Bill Nye the Science Guy,1993,1999,наука
http://www.wikidata.org/entity/Q3284230,Malu Mulher,1979,1980,развод
http://www.wikidata.org/entity/Q3808654,Джо Форрестер,1975,1976,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q3234056,Mama's Family,1983,1990,неблагополучная семья
http://www.wikidata.org/entity/Q4651590,AFP,2011,2012,Австралийская федеральная полиция
http://www.wikidata.org/entity/Q3214025,La caméra explore le temps,1957,1966,история Франции
http://www.wikidata.org/entity/Q4658774,A Perfect Hero,1991,1991,авиация
http://www.wikidata.org/entity/Q3832194,Жизнь на Марсе,2008,2009,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q4764798,Animal Exploration with Jarod Miller,2007,2010,животные
http://www.wikidata.org/entity/Q3132049,Мандраке,2005,2007,Рио-де-Жанейро
http://www.wikidata.org/entity/Q3363984,A Family at War,1970,1972,Вторая мировая война
http://www.wikidata.org/entity/Q3446234,N.Y.P.D.,1967,1969,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q4303563,Мосгаз,2012,2012,Владимир Михайлович Ионесян
http://www.wikidata.org/entity/Q3776138,Great Migrations,2010,2010,миграция животных
http://www.wikidata.org/entity/Q3536383,Trading Spaces,2000,2018,ремонт жилища
http://www.wikidata.org/entity/Q3536383,Trading Spaces,2018,2018,ремонт жилища
http://www.wikidata.org/entity/Q3988846,The Private Life of Plants,1995,1995,растения
http://www.wikidata.org/entity/Q4658774,A Perfect Hero,1991,1991,Битва за Британию
http://www.wikidata.org/entity/Q3782890,Hammer Session!,2010,2010,ученик средней школы
http://www.wikidata.org/entity/Q3786325,Голливуд,1980,1980,немое кино
http://www.wikidata.org/entity/Q4443005,Столыпин… Невыученные уроки,2006,2006,Пётр Аркадьевич Столыпин
http://www.wikidata.org/entity/Q4689532,Африка,2013,2013,Африка
http://www.wikidata.org/entity/Q3878254,Grandpa Goes to Washington,1978,1979,политика
http://www.wikidata.org/entity/Q3786325,Голливуд,1980,1980,кинематограф США
http://www.wikidata.org/entity/Q3960382,Mr. President,1987,1988,политика
http://www.wikidata.org/entity/Q3276933,The Trap,2007,2007,свобода
http://www.wikidata.org/entity/Q3184088,Омар,2012,2012,Умар ибн аль-Хаттаб
http://www.wikidata.org/entity/Q3213922,Reasonable Doubts,1991,1993,Департамент полиции Чикаго
http://www.wikidata.org/entity/Q3093037,G.B.H.,1991,1991,политика
http://www.wikidata.org/entity/Q4546930,10 Years Younger,2004,2009,мода
http://www.wikidata.org/entity/Q3746574,Flesh 'n' Blood,1991,1991,усыновление
http://www.wikidata.org/entity/Q3481141,Barareh Nights,2005,2005,contemporary history of Iran
http://www.wikidata.org/entity/Q3988974,The Renovators,2011,2011,ремонт жилища
http://www.wikidata.org/entity/Q4281226,Маргоша,2009,2011,обмен телами
http://www.wikidata.org/entity/Q4380317,Проклятый рай,2006,2006,проституция
http://www.wikidata.org/entity/Q3223044,The New Breed,1961,1962,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,политическая система США
http://www.wikidata.org/entity/Q3398728,Terrahawks,1983,1986,клонирование
http://www.wikidata.org/entity/Q3283591,Mister Sterling,2003,2003,политика
http://www.wikidata.org/entity/Q3481141,Barareh Nights,2005,2005,культура Ирана
http://www.wikidata.org/entity/Q4316980,Немного не в себе,2011,2011,обмен телами
http://www.wikidata.org/entity/Q4659346,A Scare at Bedtime,1997,2006,неблагополучная семья
http://www.wikidata.org/entity/Q3298958,True Blue,1989,1990,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q3285801,When We Left Earth: The NASA Missions,2008,2008,Аполлон
http://www.wikidata.org/entity/Q4729961,All for One,2010,2010,ремонт жилища
http://www.wikidata.org/entity/Q3285801,When We Left Earth: The NASA Missions,2008,2008,Международная космическая станция
http://www.wikidata.org/entity/Q3874591,Enemy at the Door,1978,1980,Вторая мировая война
http://www.wikidata.org/entity/Q4708620,Alaska State Troopers,2009,2015,Полиция штата Аляска
http://www.wikidata.org/entity/Q3234150,Police Camera Action!,1994,2010,полиция
http://www.wikidata.org/entity/Q4743993,American High,2000,2001,Highland Park High School
http://www.wikidata.org/entity/Q3065120,19 Kids and Counting,2008,2015,Duggar family
http://www.wikidata.org/entity/Q4126729,Восхождение к Марсу,2007,2007,Гонка к Марсу
http://www.wikidata.org/entity/Q3774077,Грейсленд,2013,2015,операция под прикрытием
http://www.wikidata.org/entity/Q3285801,When We Left Earth: The NASA Missions,2008,2008,Джемини
http://www.wikidata.org/entity/Q3234305,Les Nuls L'émission,1990,1992,юмор
http://www.wikidata.org/entity/Q3426576,René Lévesque,1994,1994,политика
http://www.wikidata.org/entity/Q4651590,AFP,2011,2012,полиция
http://www.wikidata.org/entity/Q3736478,Today's F.B.I.,1981,1982,Федеральное бюро расследований
http://www.wikidata.org/entity/Q3967349,Most Wanted,1976,1977,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q3881287,Ohara,1987,1988,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q4127467,Мистер Селфридж (фильм),2013,2016,Selfridges
http://www.wikidata.org/entity/Q4127467,Мистер Селфридж (фильм),2013,2016,Гарри Селфридж
http://www.wikidata.org/entity/Q3682077,Jericho,1966,1967,Вторая мировая война
http://www.wikidata.org/entity/Q3285801,When We Left Earth: The NASA Missions,2008,2008,Скайлэб
http://www.wikidata.org/entity/Q4322414,Новая жертва,1995,1995,серийный убийца
http://www.wikidata.org/entity/Q4717117,Куин,1993,1993,работорговля в США
http://www.wikidata.org/entity/Q3774077,Грейсленд,2013,2015,Федеральное бюро расследований
http://www.wikidata.org/entity/Q3330940,Карточный домик,2013,2018,политика
http://www.wikidata.org/entity/Q3238373,Life Is Worth Living,1952,1957,христианство
http://www.wikidata.org/entity/Q3234203,Mr. Meaty,2005,2009,drive-through
http://www.wikidata.org/entity/Q3689907,Convoy,1965,1965,Вторая мировая война
http://www.wikidata.org/entity/Q4546296,101 Cars You Must Drive,2008,2008,автомобиль
http://www.wikidata.org/entity/Q4091841,Большая игра,2007,2007,Большая игра
http://www.wikidata.org/entity/Q4091841,Большая игра,2007,2007,Холодная война
http://www.wikidata.org/entity/Q68935698,Горизонты,2019,2019,организованная преступность
http://www.wikidata.org/entity/Q86730030,Переломный момент,2019,2022,франкоканадцы
http://www.wikidata.org/entity/Q66680761,Diagnosis,2019,2019,диагноз
http://www.wikidata.org/entity/Q83962233,Рагнарёк,2020,2023,скандинавская мифология
http://www.wikidata.org/entity/Q81560766,Cheer,2020,2022,National Cheerleaders Association
http://www.wikidata.org/entity/Q81560766,Cheer,2020,2022,Navarro College
http://www.wikidata.org/entity/Q65076295,ФБР: Самые разыскиваемые,2020,2025,Федеральное бюро расследований
http://www.wikidata.org/entity/Q66680761,Diagnosis,2019,2019,гражданская наука
http://www.wikidata.org/entity/Q86523693,Unabomber: In His Own Words,2020,2020,Теодор Качинский
http://www.wikidata.org/entity/Q88306935,Король тигров,2020,2020,уголовное наказание
http://www.wikidata.org/entity/Q81560766,Cheer,2020,2022,Monica Aldama
http://www.wikidata.org/entity/Q60747802,Воспитанные волками,2020,2022,атеизм
http://www.wikidata.org/entity/Q60747802,Воспитанные волками,2020,2022,теизм
http://www.wikidata.org/entity/Q60747802,Воспитанные волками,2020,2022,андроид
http://www.wikidata.org/entity/Q85809934,Полиция Токио,2022,2024,Столичное управление полиции Токио
http://www.wikidata.org/entity/Q88306935,Король тигров,2020,2020,Don Lewis
http://www.wikidata.org/entity/Q88306935,Король тигров,2020,2020,большая кошка
http://www.wikidata.org/entity/Q74285789,The Devil Next Door,2019,2019,Иван Николаевич Демьянюк
http://www.wikidata.org/entity/Q85712059,Голливуд,2020,2020,кинематограф
http://www.wikidata.org/entity/Q85712059,Голливуд,2020,2020,расизм
http://www.wikidata.org/entity/Q62419394,Y. Последний мужчина,2021,2021,male extinction
http://www.wikidata.org/entity/Q87750609,Unsere wunderbaren Jahre,2020,2020,Преодоление прошлого
http://www.wikidata.org/entity/Q88532913,The Beatles: Get Back,2021,2021,The Beatles
http://www.wikidata.org/entity/Q85811329,Янг Дилан Тайлера Перри,2020,2025,рэп
http://www.wikidata.org/entity/Q61466537,Examination of Conscience,2019,2019,Скандал вокруг сексуальных домогательств в католической церкви
http://www.wikidata.org/entity/Q60768823,Surviving R. Kelly,2019,2020,R. Kelly
http://www.wikidata.org/entity/Q85793950,Pooch Perfect,2020,2020,Груминг собак
http://www.wikidata.org/entity/Q85712059,Голливуд,2020,2020,ЛГБТ
http://www.wikidata.org/entity/Q88532913,The Beatles: Get Back,2021,2021,Концерт The Beatles на крыше
http://www.wikidata.org/entity/Q62018588,Woke,2017,2021,ЛГБТ
http://www.wikidata.org/entity/Q85811329,Янг Дилан Тайлера Перри,2020,2025,хип-хоп
http://www.wikidata.org/entity/Q88306935,Король тигров,2020,2020,Джо Экзотик
http://www.wikidata.org/entity/Q88532913,The Beatles: Get Back,2021,2021,Пусть будет так
http://www.wikidata.org/entity/Q65923456,What Did You Eat Yesterday?,2019,2019,кулинария
http://www.wikidata.org/entity/Q61782859,Великая,2020,2023,Екатерина II
http://www.wikidata.org/entity/Q86685797,Грозный,2020,2020,Иван Грозный
http://www.wikidata.org/entity/Q89439238,Eurasia: The Conquest of the East,2003,2003,Александр Македонский
http://www.wikidata.org/entity/Q65069124,Wu-Tang Clan: Of Mics and Men,2019,2019,Wu-Tang Clan
http://www.wikidata.org/entity/Q85845888,Everything's Gonna Be Okay,2020,2021,аутизм
http://www.wikidata.org/entity/Q82396632,Изобретая Анну,2022,2022,Анна Сорокина
http://www.wikidata.org/entity/Q85811329,Янг Дилан Тайлера Перри,2020,2025,urban contemporary
